FID,NO,ID_1,ID_2,ID3,DATE_BEGIN,DATA_EXPIR,NAME,ADDRESS,STATE,ZIP,LAT,LONG,CAFO_TYPE,CAFO_SUBTY,SIS_CODE,ANIMAL_CNT,E_ANIMAL_C,AU,E_AU,MANURE_AMT,E_MANURE_A,T_MANURE_A,NOTE,x,y
74,166,TXG920553,CN600795603,RN101520773,2/26/2005, ,CATTLEMENS FEEDLOT LTD,2400 COUNTY ROAD 132 OLTON,TX,79064,34.1525,-102.19083,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,121819, ,121819, ,-11375832,4049298
75,167,TXG920556,CN601090749,RN102185329,2/26/2005, ,KEELING CATTLE FEEDERS INC,2799 COUNTY ROAD 3 HEREFORD,TX,79045,34.773333,-102.57888,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,40606, ,40606, ,-11419030,4133121
76,168,TXG920557,CN601299878,RN101514842,2/26/2005, ,HENRICHSON FEEDYARD INC,"92 Henrickson Ranch Rd, Texas, USA",TX,78001,28.267777,-99.280416,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,18841, ,18841, ,-11051846,3282777
77,170,TXG920563,CN602838427,RN101701076,3/2/2005, ,SPARKMAN CATTLE FEEDERS INC,324 FM 1055 HEREFORD,TX,79045,34.708333,-102.425,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,7008, ,7008, ,-11401900,4124316
78,171,TXG920564,CN602838427,RN102598562,3/2/2005, ,SPARKMAN CATTLE FEEDERS INC,324 FM 1055 HEREFORD,TX,79045,34.713611,-102.41138,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,8842, ,8842, ,-11400384,4125031
79,172,TXG920565,CN602743676,RN101519759,3/2/2005, ,"PAETZOLD, WALTER JR","3855 Co Rd 5, Hereford, TX 79045, USA",TX,79045,34.793055,-102.378611,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,2311, ,2311, ,-11396736,4135794
80,173,TXG920568,CN600797070,RN101522670,3/2/2005, ,TEJAS FEEDERS LTD,"Co Rd 17, Lefors, TX 79054, USA",TX,79066,35.401111,-100.812777,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,43800, ,43800, ,-11222428,4218526
81,174,TXG920569,CN600797070,RN102916897,3/2/2005, ,TEJAS FEEDERS LTD,"Unnamed Road, Miami, TX 79059, USA",TX,79066,35.559166,-100.71388,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,92212, ,92212, ,-11211419,4240132
82,175,TXG920573,CN600794366,RN102342698,3/2/2005, ,AZTX CATTLE CO LTD,"4041 US-60, Hereford, TX 79045, USA",TX,79045,34.840277,-102.34333,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,87600, ,87600, ,-11392808,4142197
83,176,TXG920574,CN601107089,RN102909678,3/2/2005, ,BARRETT & CROFOOT LLC,2300 FM 1058 HEREFORD,TX,79045,34.828611,-102.65694,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,79083, ,79083, ,-11427719,4140615
84,177,TXG920588,CN603603309,RN104575329,11/28/2005, ,SANDHILL CATTLE CO LP,2621 N HIGHWAY 1055 DIMMITT,TX,79027,34.35695,-102.41056,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,17520, ,17520, ,-11400292,4076834
85,178,TXG920592,CN602848517,RN101515211,4/10/2005, ,"MAY, DAVID ROBERT LEE",2930 COUNTY ROAD 412 CAMPBELLTON,TX,78008,28.7005,-98.2291,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,7884, ,7884, ,-10934814,3337582
86,179,TXG920602,CN601129232,RN102094299,4/21/2005, ,MAC KEHOE CATTLE INC,"14296 FM296, Texline, TX 79087, USA",TX,79087,36.3701,-103.02609,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,5256, ,5256, ,-11468813,4351668
87,180,TXG920604,CN603424284,RN102916996,4/23/2005, ,FIVE RIVERS CATTLE FEEDING LLC,10100 FM 998 RD HARTLEY,TX,79044,35.849444,-102.46166,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,120000, ,120000, ,-11405981,4279926
88,181,TXG920605,CN603424284,RN101720555,4/23/2005, ,FIVE RIVERS CATTLE FEEDING LLC,2690 US HIGHWAY 54 DALHART,TX,79022,35.986666,-102.62055,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,125000, ,125000, ,-11423668,4298788
89,182,TXG920606,CN603424284,RN101519452,4/23/2005, ,FIVE RIVERS CATTLE FEEDING LLC,4301 FM 297 DALHART,TX,79022,36.091666,-102.3,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,124000, ,124000, ,-11387985,4313243
90,183,TXG920608,CN600919484,RN103789558,4/28/2005, ,CENTRAL TEXAS CATTLE COMPANY,14745 US HIGHWAY 87 W LAVERNIA,TX,78121,29.351944,-98.149722,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,4051, ,4051, ,-10925978,3420518
91,184,TXG920609,CN604679134,RN101718740,4/28/2005, ,KING RANCH INC,"Unnamed Road, Kingsville, TX 78363, USA",TX,78364,27.5,-97.973611,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,32485, ,32485, ,-10906373,3186081
92,185,TXG920610,CN601176738,RN102179686,4/28/2005, ,DRISKILL FEED YARD INC,"Pvt Rd 3650, Sabinal, TX 78881, USA",TX,78881,29.352777,-99.494444,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,9745, ,9745, ,-11075672,3420624
93,186,TXG920611,CN600519110,RN102805587,4/28/2005, ,RIO BEEF FEEDYARD INC,"G I Rd, Edinburg, TX 78542, USA",TX,78540,26.543333,-97.985555,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,32485, ,32485, ,-10907703,3066533
94,187,TXG920612,CN601043144,RN102511169,4/28/2005, ,LIVE OAK FEEDLOT INC,"Unnamed Road, Batesville, TX 78829, USA",TX,78829,28.931666,-99.499444,Beef cattle,CATTLE (Beef);,SIS0211/SIS0212, , , , ,12994, ,12994, ,-11076228,3366952
