time,county_code,present,event,delta
2024-11-11 05:00:00+00:00,6067,1,13,30
2024-11-11 05:00:00+00:00,6075,1,10,30
2024-11-12 05:00:00+00:00,6085,1,11,30
2024-11-12 05:00:00+00:00,6083,1,18,30
2024-11-12 05:00:00+00:00,6081,1,12,30
2024-11-12 05:00:00+00:00,6037,1,14,30
2024-11-12 05:00:00+00:00,6075,1,10,30
2024-11-12 05:00:00+00:00,6067,1,13,30
2024-11-12 05:00:00+00:00,6079,1,21,30
2024-11-13 05:00:00+00:00,6067,1,13,30
2024-11-13 05:00:00+00:00,6099,1,9,30
2024-11-13 05:00:00+00:00,6065,1,20,30
2024-11-13 05:00:00+00:00,6055,1,17,30
2024-11-13 05:00:00+00:00,6037,1,14,30
2024-11-13 05:00:00+00:00,6073,1,19,30
2024-11-13 05:00:00+00:00,6071,1,15,30
2024-11-13 05:00:00+00:00,6081,1,12,30
2024-11-13 05:00:00+00:00,6083,1,18,30
2024-11-13 05:00:00+00:00,6047,1,16,30
2024-11-13 05:00:00+00:00,6085,1,11,30
2024-11-13 05:00:00+00:00,6075,1,10,30
2024-11-14 05:00:00+00:00,6071,1,15,30
2024-11-14 05:00:00+00:00,6079,1,21,30
2024-11-14 05:00:00+00:00,6075,1,10,30
2024-11-14 05:00:00+00:00,6067,1,13,30
2024-11-14 05:00:00+00:00,6081,1,12,30
2024-11-14 05:00:00+00:00,6099,1,9,30
2024-11-14 05:00:00+00:00,6085,1,11,30
2024-11-14 05:00:00+00:00,6095,1,22,30
2024-11-15 05:00:00+00:00,6067,1,13,30
2024-11-15 05:00:00+00:00,6047,1,16,30
2024-11-15 05:00:00+00:00,6075,1,10,30
2024-11-15 05:00:00+00:00,6085,1,11,30
2024-11-15 05:00:00+00:00,6083,1,18,30
2024-11-15 05:00:00+00:00,6055,1,17,30
2024-11-15 05:00:00+00:00,6081,1,12,30
2024-11-15 05:00:00+00:00,6065,1,20,30
2024-11-16 05:00:00+00:00,6075,1,10,30
2024-11-16 05:00:00+00:00,6085,1,11,30
2024-11-16 05:00:00+00:00,6081,1,12,30
2024-11-16 05:00:00+00:00,6067,1,13,30
2024-11-17 05:00:00+00:00,6075,1,10,30
2024-11-17 05:00:00+00:00,6081,1,12,30
2024-11-17 05:00:00+00:00,6037,1,14,30
2024-11-17 05:00:00+00:00,6067,1,13,30
2024-11-17 05:00:00+00:00,6087,1,23,30
2024-11-17 05:00:00+00:00,6097,1,24,30
2024-11-17 05:00:00+00:00,6073,1,19,30
2024-11-17 05:00:00+00:00,6085,1,11,30
2024-11-18 05:00:00+00:00,6071,1,15,30
2024-11-18 05:00:00+00:00,6067,1,13,30
2024-11-18 05:00:00+00:00,6073,1,19,30
2024-11-18 05:00:00+00:00,6085,1,11,30
2024-11-18 05:00:00+00:00,6065,1,20,30
2024-11-18 05:00:00+00:00,6055,1,17,30
2024-11-18 05:00:00+00:00,6079,1,21,30
2024-11-18 05:00:00+00:00,6037,1,14,30
2024-11-18 05:00:00+00:00,6099,1,9,30
2024-11-18 05:00:00+00:00,6081,1,12,30
2024-11-18 05:00:00+00:00,6083,1,18,30
2024-11-18 05:00:00+00:00,6075,1,10,30
2024-11-19 05:00:00+00:00,6067,1,13,30
2024-11-19 05:00:00+00:00,6081,1,12,30
2024-11-19 05:00:00+00:00,6075,1,10,30
2024-11-19 05:00:00+00:00,6037,1,14,30
2024-11-19 05:00:00+00:00,6085,1,11,30
2024-11-19 05:00:00+00:00,6053,1,25,30
2024-11-19 05:00:00+00:00,6097,1,24,30
2024-11-19 05:00:00+00:00,6079,1,21,30
2024-11-20 05:00:00+00:00,6067,1,13,30
2024-11-20 05:00:00+00:00,6071,1,15,30
2024-11-20 05:00:00+00:00,6087,1,23,30
2024-11-20 05:00:00+00:00,6055,1,17,30
2024-11-20 05:00:00+00:00,6047,1,16,30
2024-11-20 05:00:00+00:00,6037,1,14,30
2024-11-20 05:00:00+00:00,6081,1,12,30
2024-11-20 05:00:00+00:00,6075,1,10,30
2024-11-20 05:00:00+00:00,6065,1,20,30
2024-11-20 05:00:00+00:00,6083,1,18,30
2024-11-20 05:00:00+00:00,6085,1,11,30
2024-11-20 05:00:00+00:00,6097,1,24,30
2024-11-20 05:00:00+00:00,6099,1,9,30
2024-11-20 05:00:00+00:00,6073,1,19,30
2024-11-21 05:00:00+00:00,6067,1,13,30
2024-11-21 05:00:00+00:00,6053,1,25,30
2024-11-21 05:00:00+00:00,6085,1,11,30
2024-11-21 05:00:00+00:00,6087,1,23,30
2024-11-21 05:00:00+00:00,6081,1,12,30
2024-11-21 05:00:00+00:00,6071,1,15,30
2024-11-21 05:00:00+00:00,6075,1,10,30
2024-11-21 05:00:00+00:00,6095,1,22,30
2024-11-21 05:00:00+00:00,6079,1,21,30
2024-11-22 05:00:00+00:00,6081,1,12,30
2024-11-22 05:00:00+00:00,6075,1,10,30
2024-11-22 05:00:00+00:00,6065,1,20,30
2024-11-22 05:00:00+00:00,6067,1,13,30
2024-11-22 05:00:00+00:00,6055,1,17,30
2024-11-22 05:00:00+00:00,6085,1,11,30
2024-11-22 05:00:00+00:00,6083,1,18,30
2024-11-22 05:00:00+00:00,6099,1,9,30
2024-11-23 05:00:00+00:00,6081,1,12,30
