month	state	Avian-Domestic-Other	Avian-Wild	Cattle	Chicken	Human	Nonhuman-mammal	Turkey	Unknown
2022-09	AK	0.0	44.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-09	AZ	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-09	CA	0.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-09	CO	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-09	CT	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-09	FL	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-09	GA	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-09	IA	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-09	ID	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-09	IL	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-09	IN	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-09	LA	0.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-09	MA	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-09	MI	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-09	MN	0.0	87.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-09	MO	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-09	MS	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-09	MT	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-09	ND	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-09	NH	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-09	NV	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-09	NY	0.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-09	OH	0.0	4.0	0.0	3.0	0.0	0.0	1.0	0.0
2022-09	OK	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-09	OR	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-09	PA	0.0	5.0	0.0	3.0	0.0	0.0	2.0	0.0
2022-09	TX	0.0	33.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-09	USA	0.0	87.0	0.0	4.0	0.0	0.0	0.0	0.0
2022-09	UT	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-09	VA	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-09	VT	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-09	WA	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-09	WI	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-09	WY	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-10	AK	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-10	AZ	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-10	CA	0.0	36.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-10	CO	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-10	CT	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-10	FL	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-10	GA	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-10	IA	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-10	ID	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-10	IL	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-10	IN	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-10	KS	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-10	KY	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-10	MA	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-10	MI	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-10	MN	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-10	MO	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-10	MT	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-10	NC	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-10	ND	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-10	NE	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-10	NJ	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-10	NY	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-10	OH	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-10	OK	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-10	OR	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-10	PA	0.0	6.0	0.0	2.0	0.0	0.0	6.0	0.0
2022-10	RI	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-10	TX	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-10	USA	0.0	26.0	0.0	2.0	0.0	0.0	0.0	0.0
2022-10	UT	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-10	WA	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-10	WY	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-11	AK	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-11	AL	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-11	AR	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-11	CA	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-11	CO	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-11	FL	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-11	GA	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-11	IA	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-11	ID	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-11	IL	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-11	IN	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-11	KS	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-11	KY	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-11	LA	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-11	MN	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-11	MO	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-11	MS	0.0	50.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-11	MT	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-11	NC	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-11	ND	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-11	NE	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-11	NV	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-11	NY	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-11	OH	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0
2022-11	OR	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-11	PA	0.0	5.0	0.0	2.0	0.0	0.0	13.0	0.0
2022-11	RI	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-11	SC	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-11	SD	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-11	TN	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-11	TX	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-11	USA	0.0	34.0	0.0	1.0	0.0	0.0	0.0	0.0
2022-11	UT	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-11	VA	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-11	VT	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-11	WA	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-11	WI	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-11	WY	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-11	nan	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-12	AK	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-12	AL	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-12	AR	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-12	CA	0.0	53.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-12	CO	0.0	35.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-12	FL	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-12	IA	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-12	IL	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-12	IN	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-12	KS	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-12	KY	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-12	LA	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-12	ME	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-12	MN	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-12	MO	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-12	MS	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-12	MT	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-12	Maricopa County, AZ	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-12	NC	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-12	NE	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-12	NM	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-12	NV	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-12	NY	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0
