id,name,country,lt,ln,pop
342,El Calafate,ARG,-50.33332436,-72.30001612,6329
343,San Juan,ARG,-31.55002643,-68.51998845,433892
344,Rawson,ARG,-43.3000069,-65.09999048,25062.5
345,Neuquen,ARG,-38.95003986,-68.05999068,213823.5
346,Santa Rosa,ARG,-36.6200012,-64.29998763,97693.5
347,San Carlos de Bariloche,ARG,-41.14995726,-71.29999964,91953
348,Salta,ARG,-24.78335936,-65.41663782,484646
349,San Miguel de Tucuman,ARG,-26.81600014,-65.21662419,678803.5
350,Formosa,ARG,-26.17283527,-58.1828158,202272
351,Santa Fe,ARG,-31.62387205,-60.69000126,393504
352,Rosario,ARG,-32.95112954,-60.66630762,1094784.5
353,Puerto Deseado,ARG,-47.75001951,-65.89996749,3305
354,Rio Gallegos,ARG,-51.63329669,-69.21658675,77183
355,Comodoro Rivadavia,ARG,-45.87003091,-67.49999903,123291
356,Mendoza,ARG,-32.88333006,-68.81661117,827815
357,Bahia Blanca,ARG,-38.74002684,-62.2650214,279041
358,Mar del Plata,ARG,-38.00002033,-57.57998438,554916
359,Cordoba,ARG,-31.39995807,-64.18229456,1374467.5
360,Posadas,ARG,-27.3578321,-55.88510735,334589.5
361,Buenos Aires,ARG,-34.60250161,-58.39753137,11862073
362,Ashtarak,ARM,40.3016667,44.3591667,18779
363,Ijevan,ARM,40.8755556,45.1491667,14737
364,Artashat,ARM,39.9538889,44.5505556,20562
365,Gavarr,ARM,40.3588889,45.1266667,21680
366,Yeghegnadzor,ARM,39.7611111,45.3333333,8200
367,Gyumri,ARM,40.78943402,43.84749385,140277.5
368,Vanadzor,ARM,40.81276593,44.48828162,89295
369,Yerevan,ARM,40.18115074,44.51355139,1097742.5
370,Oranjestad,ABW,12.53038373,-70.02899195,50887.5
371,Central Coast,AUS,-33.42004148,151.3000048,3026
372,Sunshine Coast,AUS,-26.67998777,153.0500272,57215.5
373,Bourke,AUS,-30.1,145.9333333,2475
374,Pine Creek,AUS,-13.81617348,131.816698,505
375,Adelaide River,AUS,-13.2495414,131.0999975,237
376,McMinns Lagoon,AUS,-12.53289264,131.0500264,5025
377,Newcastle Waters,AUS,-17.55279295,133.4672432,10
378,Ravensthorpe,AUS,-33.58287392,120.0333345,639
379,Wagin,AUS,-33.29958372,117.3499841,1037.5
380,Roebourne,AUS,-20.7829317,117.1333048,11281.5
381,Pannawonica,AUS,-21.63657469,116.3250337,686
382,Tom Price,AUS,-22.69346108,117.7930578,1822
383,Kalbarri,AUS,-27.66618081,114.1666642,1537
384,Mount Magnet,AUS,-28.06620807,117.8166739,424
385,Morawa,AUS,-29.21626707,116.0000406,259
386,Port Denison,AUS,-29.28282632,114.9166442,1213
387,Merredin,AUS,-31.48284707,118.2666723,2054
388,Mount Barker,AUS,-34.632784,117.6666056,1771.5
389,Katanning,AUS,-33.69955931,117.5500752,3140
390,Narrogin,AUS,-32.93288776,117.1666361,3995
391,Gingin,AUS,-31.34957355,115.9000468,1446
392,Bunbury,AUS,-33.34428384,115.6502429,26683.5
393,Kwinana,AUS,-32.23939004,115.7702356,18817.5
394,Southern Cross,AUS,-31.216145,119.3166857,187
395,Kaltukatjara,AUS,-25.78841429,128.9973352,355
396,Queanbeyan,AUS,-35.3546004,149.2113468,32408
397,Tweed Heads,AUS,-28.1825834,153.5466377,33065
398,Ivanhoe,AUS,-32.89960814,144.3000187,265
399,Wilcannia,AUS,-31.56620115,143.3833304,442
400,Merimbula,AUS,-36.89962238,149.9000386,3607.5
